date,R_reserve_kwh,per_slot_q80_sum_kwh,inflation_ratio,load_mae_kw,pv_mae_kw,netload_mae_kw
2025-04-05,975.92288575769,4056.192653019164,4.156263483738272,107.08599141252202,162.7078318011422,239.57357820142371
2025-04-06,989.7230003498694,4100.1762404722,4.142751294071956,100.81467671622475,107.59403729246456,176.61387378025506
2025-04-07,976.2840252971506,4061.032612465313,4.159683562607983,100.8346823947855,151.9902452432915,208.85327816922978
2025-04-08,976.1636454506637,4102.48826205623,4.202664462229836,96.1158415422971,210.67281938818041,265.6980821846445
2025-04-09,976.0432656041769,4114.46510160037,4.2154536039480694,96.96595378149328,197.21707239944,252.17378005708457
2025-04-10,1003.1619754025882,4212.686092654722,4.1994076689002195,101.5020062795981,133.8439518687384,202.10240693619892
2025-04-11,989.7230003498694,4200.828938129445,4.24444914046096,111.38286460687853,159.67972476011897,233.56627379946076
2025-04-12,976.2840252971506,4228.708128265417,4.331432266320582,105.4345721959964,100.68982622336544,159.77140770758703
2025-04-13,976.1636454506637,4235.257916876488,4.3386761396150995,111.312172325488,109.66614033296797,186.58146931002926
2025-04-14,1015.1804162947046,4258.4629598296,4.194784386574866,112.93278702661412,128.27800808781006,190.92427038227444
2025-04-15,1002.2149526288532,4266.42473256534,4.256995688773474,110.42955222965583,180.4747590565857,253.11349883964328
2025-04-16,989.2494889630019,4265.766633052035,4.312124171551202,97.49580941995343,117.97405563883578,179.54014206442105
2025-04-17,1041.1113436264063,4298.270484832716,4.128540632225704,86.04856001548522,117.93204152580637,170.5177578332144
2025-04-18,1043.0053891738762,4360.572083344603,4.180776176811936,102.5658424349859,96.30752069067259,159.1844832539122
2025-04-19,1042.5318777870086,4379.168017575695,4.200512340084403,106.8256113824785,117.70066005096653,191.4793870233085
2025-04-20,1042.0583664001413,4355.346999106772,4.179561471352707,102.9966522270777,160.63428967059247,219.459969734941
2025-04-21,1041.5848550132737,4377.448543080804,4.2026806764822044,117.2700300302328,224.0039021965637,273.1332615375711
2025-04-22,1041.1113436264063,4344.670306766076,4.173108220714116,105.73339410214716,174.78264793638152,243.39320338961605
2025-04-23,1043.0053891738762,4410.6069430501175,4.2287479900210165,112.99600886752917,119.1743206008749,209.7079432439789
2025-04-24,1074.7472576383013,4439.864031750734,4.1310773302246835,91.17816542582825,160.0696787678103,220.97202809622814
