t,channel,mean_error_kw,q05_error_kw,q25_error_kw,q50_error_kw,q75_error_kw,q95_error_kw,samples
80,net,23.8821355357,-1021.58829246,-366.857655993,13.1885726505,362.991769988,1029.27370513,334
81,load,11.6771104094,-310.408595739,-118.312803888,4.78467243559,129.661690991,337.689952741,334
81,pv,-18.5560175199,-936.507494452,-349.673760735,8.97931302813,298.921950614,927.932675391,334
81,net,30.2331279293,-874.663436624,-318.889739538,13.6863166548,395.786143289,992.523524684,334
82,load,11.7446987525,-265.940566063,-102.50436534,-5.21991636627,131.206184795,338.262997858,334
82,pv,-17.7373498024,-855.630857924,-327.484773196,-0.241076257211,290.821363614,835.038648312,334
82,net,29.4820485548,-856.280003202,-326.820539563,6.42633871137,354.729393319,973.477107143,334
83,load,10.5126943717,-282.95180932,-106.59062897,9.4821051514,119.490040437,316.107481124,334
83,pv,-16.6794289869,-868.406443788,-333.582982093,-4.18944333066,322.373742888,780.665891036,334
83,net,27.1921233586,-825.423048084,-324.000577874,8.23871758097,367.313012112,932.548941844,334
84,load,9.93665802338,-302.801316701,-99.5634078718,9.5234942152,137.612022888,297.111483358,334
84,pv,-17.4121571272,-892.631880229,-296.872395973,-4.3372208857,281.815480484,723.848325914,334
84,net,27.3488151506,-823.329294513,-313.053231252,5.80424769786,366.938644297,936.137437786,334
85,load,10.4607368402,-248.881533003,-104.654689369,-4.70950579455,100.700335499,270.835099344,334
85,pv,-16.9712765582,-823.098150647,-320.543835548,-6.35795185426,242.068348975,808.846151822,334
85,net,27.4320133984,-785.445419048,-285.379164257,25.3446629224,333.310749626,885.88939459,334
86,load,12.9227179238,-264.028616498,-111.223106812,1.830444792,121.739338067,299.082304822,334
86,pv,-17.78309091,-794.045768253,-276.851020308,-34.0253147273,221.267872064,806.934579512,334
86,net,30.7058088338,-806.008193295,-246.048183871,36.4671507961,346.587865884,814.810472548,334
87,load,13.2158050199,-323.645211357,-109.401886163,-4.83907671556,136.253112428,328.137599402,334
87,pv,-18.1135713608,-807.315064484,-314.922944491,-16.7249819721,282.452420069,738.058336272,334
87,net,31.3293763806,-751.766706644,-288.002169155,54.4177680079,352.215727332,864.079924019,334
88,load,8.65533195594,-246.81618839,-125.065389162,5.72163861415,110.207680865,309.262269371,334
88,pv,-18.1403061639,-793.898360926,-282.324078505,-38.5266162729,261.025170681,737.509290967,334
88,net,26.7956381199,-828.579698565,-282.652345162,25.2886923241,355.942180545,856.616664383,334
89,load,5.9035117775,-291.418520492,-102.121809593,-4.87027539194,121.203318905,297.294081726,334
89,pv,-14.3280557669,-756.354622212,-265.598452494,-27.7876987905,256.373001758,694.516264589,334
89,net,20.2315675444,-733.509096834,-277.4369555,28.1870874799,320.581077531,789.455210883,334
90,load,3.95386366109,-300.44445968,-135.412094641,4.41137916504,131.622834325,336.991552808,334
90,pv,-11.6597277033,-716.776140499,-239.473016118,-9.54107379535,267.919240251,656.946456989,334
90,net,15.6135913644,-748.358613631,-289.19249965,32.7032755753,311.027763956,797.350810612,334
91,load,4.87102636768,-258.470801445,-100.655879512,-10.1993029521,109.595669266,277.474829148,334
91,pv,-11.0207401783,-646.554456714,-274.114965067,-6.21458183409,240.006929143,633.465575643,334
91,net,15.891766546,-691.393785023,-255.392320898,10.0332423491,295.685526147,715.731547029,334
92,load,4.64558355203,-253.297815171,-101.959057404,-4.79033041689,121.265121501,260.618932641,334
92,pv,-13.0711881477,-610.861493879,-261.438988765,-5.68754674788,219.478925747,688.869746224,334
92,net,17.7167716997,-686.797398507,-253.956526538,4.34029200297,283.446345494,704.354231416,334
93,load,4.04449459631,-317.853521752,-116.754841374,-10.9283241078,111.35537952,360.862853034,334
93,pv,-12.6825456405,-594.628848681,-243.952322092,1.39518653151,195.656925303,592.208084677,334
93,net,16.7270402368,-706.249584841,-235.598986607,6.27492619088,267.449463313,697.489666974,334
94,load,6.41148400896,-309.589215835,-109.477303136,0.993665258959,106.62815801,327.0623856,334
94,pv,-13.4871392297,-573.570904213,-196.023371334,-19.2179157789,170.35961907,542.592570586,334
94,net,19.8986232386,-639.652023933,-208.40840457,21.3091004928,220.088046503,689.353416544,334
95,load,3.04102457374,-287.277653814,-122.862432388,13.0120733999,119.713280868,292.440098229,334
95,pv,-9.85235943612,-538.359099286,-186.881563679,0.593710639896,165.323790803,506.282956906,334
95,net,12.8933840099,-581.670180351,-217.114306973,15.3329049644,207.180744542,615.175035553,334
96,load,6.48634074277,-299.463357641,-113.601764114,6.24406613587,129.94939597,301.525912336,334
96,pv,-11.4420014167,-541.074669002,-164.478826839,-4.71696757877,164.980539316,471.262971465,334
96,net,17.9283421595,-534.895781239,-201.844444332,16.3552667922,209.831189821,548.324392886,334
97,load,4.80501384449,-282.323147405,-110.474583803,-6.96379669966,115.828680321,302.229792169,334
97,pv,-10.8240742784,-464.871133233,-161.486738097,-16.2120252926,152.184045563,471.242058685,334
97,net,15.6290881229,-549.298607095,-168.931563731,17.2533087172,213.82184385,529.88702391,334
98,load,3.1468973773,-287.44574812,-121.007337529,-5.85495806272,110.709128216,330.555625003,334
98,pv,-9.02702858318,-451.089747542,-146.467327742,-1.56445353237,135.400584945,377.02889067,334
98,net,12.1739259605,-499.946639235,-162.184640975,5.52283444239,194.933628059,513.046906895,334
99,load,1.16404032184,-307.191952322,-115.696739071,-3.43379755819,125.422003437,318.532938102,334
99,pv,-9.01623369154,-416.048568907,-136.65809464,1.10627646926,107.213641042,344.516120323,334
99,net,10.1802740134,-473.055448351,-176.877225856,-1.38414452643,176.719933137,519.84561826,334
100,load,3.66875605542,-313.774811842,-107.212811581,2.65488400947,102.20812422,318.782888633,334
100,pv,-6.7917414322,-363.964065095,-114.33970322,4.5974566068,108.773968548,340.196519052,334
100,net,10.4604974876,-500.978482884,-148.615572792,12.6244115587,163.286333975,440.487012972,334
101,load,9.35307749387,-306.271938212,-100.790029025,4.36028474443,112.326051133,316.397964123,334
101,pv,-8.22767387872,-305.498990874,-97.6657336985,-3.68863384003,83.0647532281,322.587093669,334
101,net,17.5807513726,-431.996448436,-154.335550057,23.4626215356,169.528806144,435.782754886,334
102,load,15.8805158722,-296.219070627,-117.227151821,4.93598525131,142.030728691,337.554275369,334
102,pv,-10.1092540545,-278.518993535,-93.4466258581,-4.50706427258,70.4631314288,294.196467744,334
102,net,25.9897699267,-375.119842345,-133.845522747,21.048232688,176.117327027,447.132328508,334
103,load,20.6972524023,-287.986553931,-110.088424118,7.30670112782,136.555312728,365.004158221,334
103,pv,-8.33402697551,-249.288102531,-82.8440555163,0,63.6349151414,242.799438169,334
103,net,29.0312793778,-359.423407219,-128.759567849,19.9959690706,161.622523755,442.304434984,334
104,load,18.8852619447,-304.943273728,-95.398437432,6.20588870623,141.011431869,358.083903679,334
104,pv,-9.01744848518,-257.069332411,-80.3091406884,0,55.242548863,210.850161384,334
104,net,27.9027104299,-340.849457057,-118.769583829,17.5940204842,159.441675913,447.735011424,334
105,load,20.4332234949,-334.283537989,-128.749964483,9.247671698,156.858580664,396.064948216,334
105,pv,-9.27828908627,-231.867574002,-58.3090282544,0,37.6046521998,166.376651282,334
105,net,29.7115125811,-350.35558828,-131.014654257,27.6445148883,176.92624476,477.271420516,334
106,load,42.3153278578,-325.290972232,-84.1036901914,47.99736307,164.990024374,393.762822832,334
106,pv,-7.12590070721,-204.005657333,-38.4801430934,0,24.5373758159,150.253509335,334
106,net,49.4412285651,-323.761925719,-82.3827657916,44.7778595776,168.702036374,458.580987662,334
107,load,1.27172779822,-342.221163262,-126.898149303,5.89782820307,121.535284647,318.465220491,334
107,pv,-6.31887948987,-149.446516443,-24.9582901255,0.165,16.7866186478,124.283484889,334
107,net,7.59060728809,-322.105388675,-92.3236787995,0.988874699551,118.118686447,353.589508694,334
108,load,-17.717332314,-327.626115096,-133.985200779,-14.7700233623,85.6866846298,363.676300524,334
108,pv,-6.91674985488,-114.216405846,-16.6591817474,0,0.115505057174,87.7206518811,334
108,net,-10.8005824592,-343.304182314,-136.209213727,-10.7582073573,85.0229452883,370.777375648,334
109,load,-20.2111184631,-334.39011752,-125.05374588,-20.8050358082,92.0950496473,277.418459736,334
109,pv,-6.98047336214,-103.85746432,-12.8804244155,0,2.4531,71.2419526272,334
109,net,-13.2306451009,-342.343182648,-124.436142819,-17.6446638129,98.4656540048,309.410459045,334
110,load,-15.8479193661,-346.013702686,-128.604419278,-0.271119003673,97.2193330009,304.944353297,334
110,pv,-5.77650604197,-92.8634721912,-6.4104740297,0,1.4248,72.6542596372,334
110,net,-10.0714133241,-341.398781889,-131.00922634,-1.85435883385,100.42097747,299.978114012,334
111,load,-15.856077621,-444.264386971,-141.202647484,-13.812822819,110.018661196,354.620945172,334
111,pv,-4.82862037515,-70.8007409706,0,0,0,54.8983686464,334
111,net,-11.0274572458,-443.459607102,-141.202647484,-7.20283128953,114.412100441,356.531808099,334
112,load,-15.9686125304,-386.396669816,-138.008656343,-1.86962478119,100.869162684,300.948980187,334
112,pv,-2.89516933839,-57.9254460198,0,0,0.34675,43.5352864994,334
