date,t,load_error_kw,pv_error_kw,net_error_kw,naive_load_error_kw,naive_pv_error_kw
2025-02-01,136,-164.252399727,0,-164.252399727,-83.5999,0
2025-02-01,137,191.484721332,0,191.484721332,156.6023,0
2025-02-01,138,353.8254118,0,353.8254118,220.11,0
2025-02-01,139,127.521308235,0,127.521308235,-14.4392,0
2025-02-01,140,10.1373248307,0,10.1373248307,-36.6272,0
2025-02-01,141,62.5781245971,0,62.5781245971,52.46,0
2025-02-01,142,-79.6489906254,0,-79.6489906254,-231.0653,0
2025-02-01,143,-87.0942755226,0,-87.0942755226,109.9215,0
2025-02-01,144,74.169590525,0,74.169590525,941.18,0
2025-02-02,1,-62.1351197652,0,-62.1351197652,1059.8021,0
2025-02-02,2,-78.9825411192,0,-78.9825411192,997.963,0
2025-02-02,3,-45.155517102,0,-45.155517102,1043.26,0
2025-02-02,4,-47.9777545708,0,-47.9777545708,934.8484,0
2025-02-02,5,-108.186179117,0,-108.186179117,976.7177,0
2025-02-02,6,-149.041383636,0,-149.041383636,1140.13,0
2025-02-02,7,-103.539188476,0,-103.539188476,1051.8278,0
2025-02-02,8,-215.577155431,0,-215.577155431,879.1597,0
2025-02-02,9,-363.271994011,0,-363.271994011,756.92,0
2025-02-02,10,-166.777411996,0,-166.777411996,719.3184,0
2025-02-02,11,53.412866405,0,53.412866405,1057.6184,0
2025-02-02,12,-20.7198791092,0,-20.7198791092,1387.57,0
2025-02-02,13,-365.679613186,0,-365.679613186,989.9009,0
2025-02-02,14,-398.020681332,0,-398.020681332,727.798,0
2025-02-02,15,-149.123467776,0,-149.123467776,863.51,0
2025-02-02,16,-164.895497403,0,-164.895497403,866.7745,0
2025-02-02,17,51.8450980029,0,51.8450980029,1028.7487,0
2025-02-02,18,343.037747725,0,343.037747725,1234.8,0
2025-02-02,19,-12.3636835058,0,-12.3636835058,1001.3503,0
2025-02-02,20,-335.675974919,0,-335.675974919,832.0907,0
2025-02-02,21,-230.719779341,0,-230.719779341,899.87,0
2025-02-02,22,23.6692946648,0,23.6692946648,893.5634,0
2025-02-02,23,-23.3360065631,0,-23.3360065631,896.5322,0
2025-02-02,24,-296.563814142,0,-296.563814142,924.23,0
2025-02-02,25,-304.909545506,0,-304.909545506,872.8067,0
2025-02-02,26,-210.874041071,0,-210.874041071,847.5683,0
2025-02-02,27,-203.764025147,0,-203.764025147,884.32,0
2025-02-02,28,-282.049989319,0,-282.049989319,918.1471,0
2025-02-02,29,-175.785232955,0.0013421875,-175.786575143,975.2421,0
2025-02-02,30,21.6113876737,0,21.6113876737,1088.35,0
2025-02-02,31,-69.7265470261,-0.01900625,-69.7075407761,1213.4231,0
2025-02-02,32,-243.710532338,-0.00010625,-243.710426088,1084.2262,-0.001
2025-02-02,33,-333.928160651,0,-333.928160651,712.34,0
2025-02-02,34,-354.017655269,-0.01900625,-353.998649019,516.5063,0
2025-02-02,35,-290.368356617,0.24489375,-290.613250367,1155.3279,-0.0135
2025-02-02,36,-199.486012284,0,-199.486012284,2067.3,0
2025-02-02,37,-70.7915128121,-22.9146533034,-47.8768595087,1992.374,0
2025-02-02,38,-117.144443524,-53.3706234981,-63.7738200262,1927.693,-0.1879
2025-02-02,39,-111.977683176,0,-111.977683176,2213.89,0
2025-02-02,40,22.0631539347,-125.311163887,147.374317822,2138.7521,0
2025-02-02,41,-106.580214866,-53.8931276564,-52.6870872095,1724.6093,24.9698
2025-02-02,42,-377.815598381,153.566482769,-531.38208115,1340.84,45.5625
2025-02-02,43,-288.606744543,45.7433327669,-334.35007731,1366.9305,41.2969
2025-02-02,44,-180.502032074,48.5634514945,-229.065483568,1620.1356,55.5421
2025-02-02,45,-137.959831183,66.0631059797,-204.022937163,1700.64,97.725
2025-02-02,46,55.8320990627,60.3819987956,-4.54989973289,1453.2776,124.9208
2025-02-02,47,-58.664437913,33.7186728937,-92.3831108067,1936.9179,92.0006
2025-02-02,48,-284.550856844,-17.588805843,-266.962051001,3058.17,-9.1875
2025-02-02,49,43.3424217677,-144.423140267,187.765562035,3594.2827,-129.348
2025-02-02,50,137.890647732,-161.636685173,299.527332905,3629.9822,-144.5174
2025-02-02,51,-131.728789314,-102.288207866,-29.4405814475,3559.84,-77.85
2025-02-02,52,-87.1111570931,-67.4107199239,-19.7004371692,3561.8409,-63.1092
2025-02-02,53,69.9856262008,-56.8559457807,126.841571982,3122.7573,-19.0249
2025-02-02,54,75.6910948619,-26.8320714814,102.523166343,2535.42,99.2625
2025-02-02,55,-73.3025572075,49.2993487133,-122.601905921,2667.5486,213.4603
2025-02-02,56,-28.0304936356,75.4314364401,-103.461930076,2806.5088,135.6444
2025-02-02,57,117.286621753,60.7105275361,56.5760942169,2609.3,-6.6
2025-02-02,58,-61.2529950475,137.341244586,-198.594239633,2461.3033,96.8183
2025-02-02,59,-218.456253965,90.498891292,-308.955145257,2546.3773,136.7614
2025-02-02,60,-166.8628767,-83.1491864211,-83.7136902794,2690.36,63.6
2025-02-02,61,-51.5514030059,-77.7965572771,26.2451542711,2590.8683,123.8053
2025-02-02,62,-0.632409776021,-114.007475052,113.375065276,2605.4982,91.7774
2025-02-02,63,-98.0301375685,-201.229316029,103.19917846,2722.99,-20.8125
2025-02-02,64,-293.106007723,-127.470990656,-165.635017068,2602.0471,35.8688
2025-02-02,65,-149.244608884,7.2653473816,-156.509956266,2697.1606,39.0547
2025-02-02,66,162.914303,44.097063308,118.817239692,2925.72,-31.1625
2025-02-02,67,23.2097874358,-111.05387718,134.263664616,2741.9986,47.9723
2025-02-02,68,-130.570939025,-24.8155321438,-105.755406881,2684.5684,168.8597
2025-02-02,69,14.0389464507,130.501026627,-116.462080176,2865.04,111.45
2025-02-02,70,280.547507712,-20.2821902452,300.829697957,2812.3261,-182.5906
2025-02-02,71,93.5067047189,-16.7116145386,110.218319258,2549.9438,-63.9562
2025-02-02,72,-306.576575577,111.991787114,-418.568362691,2247.42,284.1
2025-02-02,73,-112.228395823,-128.630174555,16.4017787323,2114.5025,62.472
2025-02-02,74,140.312783578,-185.544105787,325.856889365,2432.5188,5.5612
2025-02-02,75,68.0151642939,-32.6055160173,100.620680311,2797.25,284.1375
2025-02-02,76,-120.814218424,77.0839722968,-197.898190721,2499.031,296.6999
2025-02-02,77,-140.651057557,96.949350168,-237.600407725,2376.7881,177.9062
2025-02-02,78,46.8495688526,68.2856428379,-21.4360739853,2691.86,93.825
2025-02-02,79,196.861513037,38.538212028,158.323301009,2868.0759,65.3648
2025-02-02,80,114.391295512,197.650727727,-83.259432215,2871.2802,174.3065
2025-02-02,81,-34.9648567664,342.901541341,-377.866398108,2863.5,266.4375
2025-02-02,82,84.5533979704,200.959826541,-116.40642857,2936.0819,110.4551
2025-02-02,83,90.7550675906,78.430903715,12.3241638756,2727.5915,153.5478
2025-02-02,84,-83.2533756334,70.8368134275,-154.090189061,2443.3,442.875
2025-02-02,85,-113.10060303,239.573978763,-352.674581793,2667.5841,572.8035
2025-02-02,86,-47.0863919209,271.626871764,-318.713263685,2812.7281,612.3939
2025-02-02,87,66.5911774197,345.150900733,-278.559723313,2747.8,667.6875
2025-02-02,88,193.671354376,398.867379157,-205.19602478,2904.9065,712.3015
2025-02-02,89,153.264870544,298.523068323,-145.258197779,2955.9505,556.6424
2025-02-02,90,-33.4226072872,111.884829064,-145.307436351,2756.14,302.3625
2025-02-02,91,-140.47486142,95.8408140603,-236.31567548,2532.8905,272.0772
2025-02-02,92,-111.899522425,125.123542596,-237.023065021,2467.5188,350.4575
2025-02-02,93,-47.3680401869,127.530756392,-174.898796579,2538.64,366.525
2025-02-02,94,-65.1897203239,101.896419157,-167.086139481,2607.45,254.3312
2025-02-02,95,-15.3174202418,64.4792210451,-79.7966412869,2798.5407,134.2791
2025-02-02,96,60.4568267898,44.380113924,16.0767128658,2966.41,84.7875
2025-02-02,97,-0.59521851751,86.0929836969,-86.6882022144,2816.6733,80.9528
2025-02-02,98,46.6096226403,71.4274048145,-24.8177821741,2783.272,41.1187
2025-02-02,99,119.84113803,50.3440977003,69.4970403299,2845.85,-21.1125
2025-02-02,100,-92.7406238969,43.7506061344,-136.491230031,2624.202,-16.9403
2025-02-02,101,-143.240896462,48.9251857054,-192.166082167,2813.5721,10.9212
2025-02-02,102,39.5825110064,47.918985981,-8.33647497459,3349.31,22.35
2025-02-02,103,64.9366392984,64.9008880301,0.0357512683664,3424.9127,16.9716
2025-02-02,104,38.4553071147,-36.9779715396,75.4332786543,3393.5766,0
2025-02-02,105,45.6015528681,0,45.6015528681,3544.69,0
