t,channel,mean_error_kw,q05_error_kw,q25_error_kw,q50_error_kw,q75_error_kw,q95_error_kw,samples
48,pv,-6.30769013173,-117.991651071,-42.3298062459,-5.25577312964,35.2201205906,103.671203128,334
48,net,24.2782627982,-304.642530052,-98.4099474406,23.0443497714,147.321112203,312.175201552,334
49,load,37.8239371388,-248.28086155,-80.1285207704,40.6397142404,140.916652772,329.694007961,334
49,pv,-7.8128053803,-199.539066547,-75.487192894,-17.0966587086,58.1027140997,203.656288708,334
49,net,45.6367425191,-288.685930606,-86.5063223373,42.1746423848,180.399299948,418.197599239,334
50,load,13.1155846764,-283.100675378,-97.3281731932,21.0524350331,119.707128417,321.087501163,334
50,pv,2.77620732612,-249.867726518,-91.2848395585,-4.6110077797,92.6641056107,279.825743026,334
50,net,10.3393773503,-373.500356668,-147.489727409,16.3898796969,166.775559531,393.27720276,334
51,load,19.2471483933,-303.568646697,-106.839238834,15.8796538567,154.960157487,339.408766422,334
51,pv,7.88583537088,-282.5697258,-105.248531937,-7.49751361799,110.899233513,378.550379722,334
51,net,11.3613130224,-451.283996671,-164.1956543,17.2097942741,178.524135224,439.712468297,334
52,load,20.4674205053,-260.081725234,-98.8475975448,11.2060102777,124.154903203,365.731648175,334
52,pv,12.6488010106,-270.964082267,-108.439956012,-0.345511672349,130.93372756,326.447941068,334
52,net,7.81861949475,-361.468005345,-155.727957343,2.2996485655,178.392285972,434.499499418,334
53,load,14.7380239932,-264.0011298,-97.9935241675,13.597513771,119.894015545,301.031058325,334
53,pv,7.7141530184,-234.74050298,-89.1708353832,0.397023988075,104.246961158,260.073783515,334
53,net,7.02387097483,-330.912233146,-147.996593862,3.13497890227,148.231492796,368.660901479,334
54,load,15.8499036316,-278.819261032,-105.618770156,22.599350832,119.028143485,315.192167045,334
54,pv,-7.15515948389,-206.442435756,-96.1841712579,-5.11262380065,75.4252489164,203.115333616,334
54,net,23.0050631155,-352.988473372,-119.505906937,29.5328396377,163.617467316,418.133102496,334
55,load,12.658430506,-259.880277585,-98.3815916779,16.8895236859,123.412603692,273.559605922,334
55,pv,-15.2250816912,-329.977406055,-145.984179583,-28.3365148512,121.531922673,339.844480342,334
55,net,27.8835121972,-398.788162696,-136.270991322,26.4031936932,189.531889857,474.306761611,334
56,load,13.2800939664,-269.529600055,-105.167054436,14.8178349878,126.622884729,269.431472632,334
56,pv,12.0062304314,-395.014531078,-162.537330063,-9.53455934201,174.65766877,452.124260428,334
56,net,1.27386353496,-480.052080988,-201.458837052,10.4709661418,196.552338669,492.184331679,334
57,load,10.7149533642,-269.572028201,-108.167765853,5.65900149229,124.146450284,315.607852201,334
57,pv,26.3472541196,-397.085101337,-157.310264554,10.2987587635,216.485484095,491.511758528,334
57,net,-15.6323007554,-542.920613421,-199.575975742,-3.85702672635,189.265354133,506.819741432,334
58,load,9.4273394385,-248.562167592,-101.514517505,13.8825291208,106.457777737,266.827961408,334
58,pv,21.6000016908,-409.522784059,-143.831881801,9.58947202884,187.242423809,490.038861806,334
58,net,-12.1726622523,-561.249846293,-218.08016002,8.71777670017,221.073466259,472.90251678,334
59,load,10.3779447081,-267.526092026,-99.3105191075,11.1372902313,117.09585534,294.760717824,334
59,pv,-0.481555110286,-372.404759244,-144.176455845,-12.5311428427,161.863487091,394.774153054,334
59,net,10.8594998184,-490.396794429,-164.55038203,50.5297260818,197.866729665,467.781553977,334
60,load,11.2762275895,-290.815470724,-98.1421527271,2.23894179861,122.963162259,290.007911968,334
60,pv,-32.4924293464,-371.190840668,-174.204976123,-33.1810049818,105.822979528,312.100904068,334
60,net,43.768656936,-445.081900593,-116.338655749,57.7060886112,214.762445444,471.12842094,334
61,load,12.8062820006,-260.504570443,-89.4316981067,6.53440064539,103.615285944,281.592816972,334
61,pv,0.901745574414,-420.400334412,-191.018449435,-11.9271757599,181.129076056,483.51622661,334
61,net,11.9045364262,-561.87594876,-180.52773758,27.4686964379,221.344584296,517.980251623,334
62,load,10.6577603676,-245.287382807,-82.5484876417,3.1398202286,103.752161416,275.573849813,334
62,pv,20.1346456546,-482.752488521,-199.896499469,18.0273923183,224.87287735,579.26880231,334
62,net,-9.47688528705,-604.311966808,-249.346836072,14.3075410651,228.538095311,601.987809685,334
63,load,5.97270100413,-269.204002506,-113.146312911,9.22666567546,126.430717929,277.446962802,334
63,pv,26.9631983542,-514.027482363,-201.255635936,13.7610459332,254.789436735,582.869898637,334
63,net,-20.9904973501,-667.852993103,-243.96730392,-5.63342975147,205.156922827,636.245357209,334
64,load,6.91051266031,-241.463968608,-90.6204224035,4.97573932844,97.0152443892,259.864680257,334
64,pv,41.0513435,-498.778367079,-183.011986306,50.7950833976,262.188762612,595.039140213,334
64,net,-34.1408308397,-621.030527828,-274.260008422,-40.8310508679,216.314894663,643.531528303,334
65,load,9.53152156716,-239.919108047,-91.7891581809,5.62322629691,116.973509668,280.068288729,334
65,pv,40.7121113844,-486.884869762,-162.842033819,36.8676294121,268.601105645,557.966493272,334
65,net,-31.1805898172,-622.926025269,-282.116618464,-18.5577848089,190.884787529,555.795648408,334
66,load,8.8099856178,-252.980865502,-111.725241541,0.159780167974,125.435390871,297.241655658,334
66,pv,13.7830089013,-456.754969343,-192.282746041,1.41916137487,243.877235576,458.19628091,334
66,net,-4.9730232835,-560.422161079,-232.671031621,-7.19356243213,227.517671432,542.889835162,334
67,load,7.29165270029,-254.733081305,-106.262514702,12.0405592846,104.420384819,287.750440627,334
67,pv,16.1468886777,-563.302797889,-172.464649445,-7.30397894466,215.982365739,587.461110542,334
67,net,-8.85523597741,-684.10027971,-250.964353167,16.9701900543,231.293759899,644.964260858,334
68,load,5.66447720044,-270.053449456,-100.409582452,5.46740820004,107.483800839,289.574872003,334
68,pv,37.5794633434,-637.433200042,-213.465525184,33.9629795942,251.577677473,728.457354548,334
68,net,-31.9149861429,-766.693102023,-282.99479063,-6.29001649108,240.808438686,674.445943154,334
69,load,10.0129686301,-330.600514954,-121.006431508,24.1124442633,135.25853228,313.223948801,334
69,pv,51.447086966,-600.778349383,-233.044034987,40.7654730834,304.77567432,729.84588849,334
69,net,-41.4341183359,-852.202346093,-315.097102352,-22.7778421886,282.278272777,675.922729246,334
70,load,14.3213205219,-273.111694152,-89.4861432739,9.68202614346,132.1658634,291.935473874,334
70,pv,53.4990988405,-620.085415393,-214.399053103,13.609848543,290.701188434,738.132988565,334
70,net,-39.1777783187,-813.912063101,-328.540931961,-8.556903108,245.830882304,648.56474944,334
71,load,9.35019114173,-232.961137221,-85.5902835967,6.89144549157,101.559911028,247.100575868,334
71,pv,35.2949797898,-539.414352677,-225.579501535,6.2558941263,243.376830421,705.544886264,334
71,net,-25.9447886481,-756.217595807,-280.092567701,13.9121446616,239.733245911,561.871791556,334
72,load,-2.50070155781,-284.936607475,-120.726522561,-2.96458106751,112.837220875,266.641633642,334
72,pv,7.007903418,-572.207317229,-245.890876118,-10.3626389932,232.790317082,668.245633361,334
72,net,-9.5086049758,-707.293856675,-267.260538073,10.5653823518,253.019784353,598.820332701,334
73,load,-3.0815539467,-295.394378916,-114.502905654,-13.8744061461,110.835537669,273.370106621,334
73,pv,20.5212218922,-292.376411721,-114.59775144,35.9419597978,146.608483329,322.048014589,334
73,net,-23.6027758389,-418.583837522,-177.326010228,-20.9426956739,122.506461817,399.82037152,334
74,load,1.78958797034,-239.478707693,-93.6295989468,-5.70631762785,92.1128885332,276.685486301,334
74,pv,59.9299854386,-387.136978411,-132.187620341,62.4748617908,242.328313135,536.700214719,334
74,net,-58.1403974682,-543.314995914,-276.679280552,-63.2489981467,133.638739776,466.253089482,334
75,load,0.695700311496,-285.411774782,-106.882743174,8.38563696457,113.287496318,278.244452966,334
75,pv,53.5440629796,-481.239204485,-112.520205273,54.667117108,240.805356251,549.997576154,334
75,net,-52.8483626681,-638.512451584,-262.960772278,-47.3912438934,163.280150271,551.520123201,334
76,load,-5.20385217096,-249.795034947,-124.724728952,-19.8188921921,97.183752563,285.084321711,334
76,pv,15.656703446,-388.608272543,-168.076663476,28.8702560442,187.293885513,466.637567629,334
76,net,-20.8605556169,-531.114278988,-237.479564344,-24.6846867051,192.517549065,501.567246393,334
77,load,-4.59998320778,-246.77655351,-115.772729093,-13.6004335038,100.315631943,242.737050822,334
77,pv,-15.4807433737,-322.864673271,-155.028945677,-6.64840639888,104.906326236,303.439733503,334
77,net,10.8807601659,-391.507605724,-139.127504425,13.3385162437,169.745624335,415.506606845,334
78,load,7.81027771211,-253.364782341,-108.991665031,10.5305400217,121.078796115,301.977178318,334
78,pv,-47.4527140757,-186.358977887,-101.613589275,-51.6623398991,5.85065937944,77.879954668,334
78,net,55.2629917878,-234.722120237,-66.4356690179,46.8895184694,172.48846854,380.380952614,334
79,load,5.35442112603,-249.546154961,-103.878443427,13.2423148585,110.469217003,262.876989769,334
79,pv,-3.3384444075,-340.430391469,-133.902678308,-3.53582122363,132.174761774,302.307238585,334
79,net,8.69286553352,-459.224471897,-152.994307505,15.7664162343,188.917039166,418.647447843,334
80,load,3.75378951027,-256.916829321,-108.049188318,10.2061209156,107.78867564,257.071229333,334
80,pv,0.0278074013432,-453.88774587,-156.614853354,-1.53846155392,171.371942304,397.617906233,334
